Timestamp,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage
13.3789978027344,7,0,0,-547,0,0,-620,17212,52,573,12,0,0,22303,29,0,4528,24
4.99800109863281,-107,0,0,361,22800,58,478,36,2,573,0,0,-833,7792,24,-833,22825,29
9.49600219726563,-105,0,0,-747,0,1,-711,11407,93,565,0,0,-95,5064,85,-93,18145,87
4.65799713134766,-102,0,0,288,26334,56,477,0,0,573,0,0,-833,8884,26,-833,21114,29
1.96499633789063,8,0,0,-546,0,0,250,13181,49,565,548,6,0,18678,27,0,5008,24
1.34000396728516,9,0,0,-547,0,0,0,3689,17,346,20451,51,0,7246,24,0,3434,23
11.4109954833984,-105,0,0,0,47,1,-1312,0,0,-436,21114,52,0,10028,26,0,11822,26
2.85500335693359,-106,0,0,0,0,0,392,0,0,574,0,0,-809,16407,136,-811,4120,133
0.462997436523438,-106,0,0,0,77,1,-1267,0,0,72,17604,55,0,8156,26,0,7720,26
11.6399993896484,-108,29,1,0,54,1,-1255,0,0,-557,20298,51,0,8312,26,0,8080,26
2.11199951171875,8,0,0,-544,0,0,244,17420,51,566,318,3,0,15481,27,0,5008,24
8.97599792480469,278,21560,56,878,0,0,477,15,1,573,0,0,-833,10366,26,-833,10782,27
7.55899810791016,581,13480,40,880,0,0,478,0,0,573,0,0,-833,7974,26,-833,7168,26
6.76300048828125,271,18768,51,929,0,0,781,0,0,565,15,1,-833,7428,26,-833,13321,27
11.2730026245117,8,0,0,-251,21010,55,476,0,0,578,0,0,0,6830,26,0,11874,27
1.64499664306641,-106,0,0,0,0,0,154,18772,52,513,22792,55,0,17692,27,0,6736,26
5.15499877929688,305,18050,51,927,92,1,782,0,0,565,0,0,-833,8312,26,-833,6778,26
4.8800048828125,-105,0,0,406,24192,56,476,194,2,572,0,1,-833,9638,26,-833,25580,31
1.46300506591797,-106,0,0,0,43,1,80,17600,55,439,21870,54,0,11215,26,0,10366,26
7.05300140380859,445,23540,55,877,13,1,477,0,0,574,0,0,-833,7974,24,-833,6102,26
2.76000213623047,-109,0,0,0,0,0,390,0,0,604,0,0,-821,30664,95,-822,18296,96
4.24199676513672,-106,0,0,146,20196,54,410,17992,52,578,0,0,-833,11971,26,-833,14995,29
5.06400299072266,218,19839,51,930,416,3,782,0,0,575,0,1,-833,16075,29,-833,6778,26
3.0780029296875,-107,0,0,0,0,0,15,0,0,573,0,0,-833,32752,65,-833,20986,62
1.22600555419922,-107,0,0,0,0,0,0,0,0,327,22064,56,0,5842,26,0,10366,24
5.94499969482422,487,12408,33,923,15,1,780,0,0,566,0,0,-833,11269,26,-833,11593,27
6.73199462890625,317,25479,57,877,99,1,477,0,0,572,0,0,-833,7974,26,-833,13348,27
8.96400451660156,-106,0,0,-716,15290,55,-398,15472,90,565,0,1,-490,22260,197,-487,32159,195
5.85200500488281,1,4731,18,680,19415,54,477,0,0,574,0,0,-833,6570,24,-833,30627,31
9.52700042724609,-107,0,0,0,0,0,-868,13198,93,565,0,0,-11,26672,16,-11,23440,14
11.02099609375,8,9,1,-62,25404,57,477,0,0,573,0,0,0,4126,26,0,7720,24
14.7379989624023,10,0,0,-547,0,0,-874,6,0,-426,25760,56,0,6830,26,0,5008,24
11.4520034790039,8,0,0,-219,20130,54,477,0,0,573,0,0,0,5894,26,0,11822,27
4.57499694824219,180,15824,47,967,164,3,782,0,0,566,0,0,-833,15616,27,-833,9055,26
6.79199981689453,279,25020,60,878,0,0,476,0,0,573,0,0,-833,7636,24,-833,15130,27
3.56599426269531,9,0,0,319,15924,94,781,17,1,565,24,0,-721,7692,147,-724,30388,156
3.27599334716797,9,0,0,100,20812,97,771,7689,33,572,41,1,-465,20543,251,-468,18349,254
11.2900009155273,-106,0,0,0,0,0,-1264,0,0,-432,19551,49,0,9820,26,0,12212,26
8.322998046875,504,19708,55,878,0,0,478,0,0,573,18,1,-833,7896,26,-833,10567,27
7.12400054931641,90,20757,51,-12,19943,50,781,0,1,565,0,0,-833,14698,27,-833,13969,27
7.74199676513672,615,609,8,879,0,0,479,0,0,573,0,0,-833,10243,26,-833,8390,26
6.33000183105469,426,19350,50,931,0,0,780,66,1,565,17,1,-833,7116,24,-833,10886,27
4.08499908447266,-108,0,0,39,23352,56,304,21120,54,574,0,0,-833,13942,26,-833,15562,27
9.85299682617188,-107,13,1,0,0,0,-1054,12915,45,566,4,0,0,9378,26,0,11510,24
